85	Beef & Chinese Green with Fried Rice .'Noodle	5.50
86	Beef &Green Pepper in Black Bean Sauce with Fried Rice Noodle	5.50
87	Spare-ribs in Black Bean Sauce with Fried Rice Noodle	6.00
88	Beef with Fried Egg Noodle	0.00
89	Shredded Pork & BBQ Pork & Squid with Fried Egg Noodle	5.50
90	Shredded Pork with Fried Egg Noodle	5.50
91	Spare-ribs with Fried Egg Noodle	5.75
92	Pat Tai Fried Rice Noodle	6.25
93	Seafood with Fried Egg Noodle	8.00
94	Shrimp with Fried Egg Noodle	8.00
95	Shredded Chicken with Fried Egg Noodle	6.00
96	Fried Rice Vermicelli Singapore Style	0.00
97	Fried Rice Noodle Malaysian Style	5.50
98	Fried E-Fu Noodle	5.50
99	Crab Meat with Fried E-Fu Noodle	6.50
100	Crab Meat with E-Fu Noodle in Soup	5.25
101	Assorted Meats & Vegetables Wor Mein	6.50
102	Crab Meat Wor Main Satay Beef with Fried Rice Noodle	6.00

	 Noodle Soup

103	Shrimp Wanton St Noodle in Soup	4.50
105	Shrimp Wonton in Soup	4.50
107	Beef Brisket & Noodle in Soup	4.25
108	Assorted Beef Internal & Noodle in Soup	0.00
109	Beef Tendon & Noodle in Soup	4.25
110	Tom Yum Seafood Soup with Rice Noodle in Soup	7.50
111	Chile Meat Sauce & Noodle in Soup	4.25
112	Fish Ball & Soup	0.00
113	Beer Ball & Noodle in Soup	4.25
114	Beef Ball & Fish Bali & Noodle in Soup	4.25
115	Beef Ball in Soup	4.25
116	Fish Ball in Soup	4.25
117	Plain Noodle in Soup	3.00
118	House Special Noodle in Soup	5.50
119	Beef Brisket Lo Mein	5.25
120	Assorted Beef Internal Lo Mein	5.25
121	Beef Tendon Lo Mein	5.25
122	Mushroom with Oyster Sauce Lo Mein	5.25
123	Wonton Lo Mein	5.25
125	Oyster Sauce Lo	0.00
126	Chile Meat Sauce Lo Mein	0.00
128	Assorted Beef Internal in Special Sauce	0.00
130	Pork Liver with Green Onion & Ginger	0.00
131	Chinese Green in Oyster	4.75

Shanghai Noodle 

132	Shrimp & BBQ Pork with Fried Shanghai Noodle	5.50
132	Sliced Beef in Satay Sauce with Fried Shanghai Noodle	5.50
132	Shredded Fillet Mignon in Chili Bean Sauce with Shanghai Noodle	5.75
133	Shredded Pork & Preserved Vegetable with Shanghai Noodle in Soup	4.25
134	Shredded Pork & Chili Preserved Vegetable with Shanghai Noodle in Soup	4.25
135	Shredded Pork with Shanghai Noodle in Soup	4.25
136	Chili Beef with Shanghai Noodle in Soup	4.75
137	Shanghai Noodle with Chili Peanut Sauce	3.75
138	Shanghai Noodle in Soup	3.00
139	House Special Congee	0.00
140	Mixed Meat Congee	4.25
141	Sliced Beef Congee	0.00
142	Minced. Beef Congee	4.00
143	Beef Congee with Fresh Egg	4.25
144	Preserved Egg & Pork Congee	4.00
145	Chicken Chop Suey	7.25
146	Beef Chop	0.00
147	Diced Vegetable	0.00
148	Mushroom Fried Rice	0.00
149	Egg Fried Rice	0.00
150	Steam	0.00
151	Spring	0.00
152. Sweet and Sour Breaded Shrimp	8.50
153	Soo Guy (Breaded Chicken) (Peanut, Cashew Nut or Mushroom	8.00
154	Egg Foo Yong	7.25

A	Salt Fish & Dice Chicken Fried Rice	6.75
B	Corn & Slice Pork on Rice	4.75
C	Tofu 84 Beef on Rice	4.75
D	Beef Brisket with Fried Rice Noodle	5.50
E	Ying Young Fried 'Rice	8.00
F	Egg Sauce & Beef with Fried Rice Noodle	5.50
G	Tomato & Beef on Rice	4.75
H	Bitter Melon 8c Chicken on Rice	5.75
I	Bitter Melon- 84 Chicken with Fried Rice Noodle	6.75
J	Chicked& Beef with Celery on Rice	5.00
K	Chicken & Beef with Celery on Fried Rice Noodle	6.00
L	Curry Chicken on Fried Rice	6.00
M	Curry Chicken on Fried Rice Noodle	6.00

1	Spring Roll, Chicken Ball (3pc) & Chicken Fried Rice	0.00
2	Spring Roll, Chicken Ball (3pc) & Chow Mein	0.00
3	Spring Roll, Chicken Wings (3pc) & Chicken Fried Rice	0.00
4	Spring Roll, Chicken Wings (3pc) & Chow Mein	0.00
5	Spring Roll, Mixed Vegetable & Steam	0.00
